wave1,FT,,wave2,QE,PT
642,98.722274,,,,
643,98.83311,,,,
644,98.734194,,,,
645,98.405607,,,,
646,98.2665,,,,
647,98.4451,,,,
648,98.711537,,,,
649,98.948224,,,,
650,98.965056,,,,
651,98.851134,,,,
652,98.789133,,,,
653,98.735905,,,,
654,98.756058,,,,
655,98.899485,,,,
656,98.862273,,,,
657,98.74016,,,,
658,98.556399,,,,
659,98.335917,,,,
660,98.246543,,,,
661,98.45386,,,,
662,98.607259,,,,
663,98.569171,,,,
664,98.552665,,,,
665,98.54695,,,,
666,98.638484,,,,
667,98.829805,,,,
668,98.85658,,,,
669,98.680338,,,,
670,98.485868,,,,
671,98.382862,,,,
672,98.596146,,,,
673,98.900864,,,,
674,98.929111,,,,
675,98.955267,,,,
676,99.036789,,,,
677,98.909825,,,,
678,98.514953,,,,
679,98.318311,,,,
680,98.419413,,,,
681,98.718007,,,,
682,99.016824,,,,
683,99.123304,,,,
684,98.992064,,,,
685,98.771663,,,,
686,98.512279,,,,
687,98.500229,,,,
688,98.785197,,,,
689,99.006306,,,,
690,99.00475,,,,
691,98.941214,,,,
692,98.953863,,,,
693,98.738645,,,,
694,98.363608,,,,
695,98.296989,,,,
696,98.472749,,,,
697,98.759126,,,,
698,98.86003,,,,
699,98.725956,,,,
700,98.50977,,,,
701,98.471589,,,,
702,98.528026,,,,
703,98.728935,,,,
704,98.776384,,,,
705,98.435978,,,,
706,98.117581,,,,
707,98.265598,,,,
708,98.665574,,,,
709,98.814432,,,,
710,98.745751,,,,
711,98.574572,,,,
712,98.547857,,,,
713,98.77669,,,,
714,98.94261,,,,
715,98.852438,,,,
716,98.605668,,,,
717,98.378966,,,,
718,98.460967,,,,
719,98.798896,,,,
720,98.746923,,,,
721,98.467621,,,,
722,98.489734,,,,
723,98.707119,,,,
724,98.79454,,,,
725,98.772148,,,,
726,98.734278,,,,
727,98.853849,,,,
728,98.907292,,,,
729,98.817049,,,,
730,98.733979,,,,
731,98.700432,,,,
732,98.605212,,,,
733,98.610379,,,,
734,98.64478,,,,
735,98.495011,,,,
736,98.430094,,,,
737,98.416118,,,,
738,97.854247,,,,
739,97.143425,,,,
740,97.328339,,,,
741,98.060168,,,,
742,98.481897,,,,
743,98.468196,,,,
744,98.022493,,,,
745,96.21588,,,,
746,88.206715,,,,
747,64.032221,,,,
748,28.139292,,,,
749,5.314345,,,,
750,0.394821,,,,
751,0.096875,,,,
752,0.01823,,,,
753,0.004442,,,,
754,0.001565,,,,
755,0.00034248,,,,
756,0.00056544,,,,
757,0.00031768,,,,
758,0.00015248,,,,
759,0.00006168,,,,
760,0.0001856,,,,
761,0.00042504,,,,
762,0.00035072,,,,
763,0.00010328,,,,
764,0.00024344,,,,
765,4.32E-06,,,,
766,0.00020232,,,,
767,0.00032608,,,,
768,0.00040024,,,,
769,0.00018592,,,,
770,0.00016936,,,,
771,0.00008696,,,,
772,0.00021072,,,,
773,0.00044968,,,,
774,0.00037552,,,,
775,0.0001532,,,,
776,0.00023544,,,,
777,0.00012024,,,,
778,0.0002356,,,,
779,0.00052368,,,,
780,0.00032616,,,,
781,0.00020272,,,,
782,0.00016976,,,,
783,0.0000464,,,,
784,0.00019464,,,,
785,0.000466,,,,
786,0.00035912,,,,
787,0.00023576,,,,
788,0.00017816,,,,
789,0.00007136,,,,
790,0.00023584,,,,
791,0.00053984,,,,
792,0.00035096,,,,
793,0.0001948,,,,
794,0.00020304,,,,
795,0.00015384,,,,
796,0.0002524,,,,
797,0.00053976,,,,
798,0.00036736,,,,
799,0.0002688,,,,
800,0.00026056,,,,
